SOURCE_ID,TITLE,SUBTITLE,AUTHOR,AUTHORS,ORGANIZATION,DATE,YEAR,LANGUAGE,COUNTRY,SOURCE_TYPE,DOMAIN,SUBDOMAIN,TOPICS,CASE_NAME,PARTICIPANTS,URL,DOI,ISBN,ARCHIVE_ID,DOCUMENT_NUMBER,FILE_PATH,FILE_FORMAT,PAGE_COUNT,WORD_COUNT,PRIMARY_SOURCE,SECONDARY_SOURCE,ORIGINAL_SOURCE,HOST_SOURCE,ACCESS_DATE,ACCESS_STATUS,COPYRIGHT_STATUS,LICENSE,TRAINING_PERMISSION,PROVENANCE,RELIABILITY_SCORE,TRAINING_VALUE,UNIQUENESS_SCORE,CASE_VALUE,TRANSCRIPT_VALUE,SOURCE_QUALITY,OCR_REQUIRED,OCR_QUALITY,DUPLICATE_STATUS,PARENT_SOURCE,RELATED_SOURCES,NOTES,AUTHORITY,PRIMARY_SOURCE_VALUE,NEGOTIATION_RELEVANCE,INFORMATION_DENSITY,CASE_DETAIL,TACTICAL_DETAIL,STRATEGIC_DETAIL,OUTCOME_VISIBILITY,COUNTERPARTY_VISIBILITY,SHA256,FILE_SIZE_BYTES
USGOV-NARA-0006,Telephone Conversation with President Boris Yeltsin,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1998-02-02,1998,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-04.pdf,,,ISCAP 2016-156 doc. 04,ISCAP 2016-156 doc. 04,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_04/original.pdf,PDF,4,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,5,5,5,5,5,4,5,4,5,c49983c313d6ce1fe4d2cf8608a2f1d20fbd33658df70ed7176629e7b1b2bcd6,200330
USGOV-NARA-0007,Telephone Conversation with President Boris Yeltsin,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1998-04-06,1998,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-05.pdf,,,ISCAP 2016-156 doc. 05,ISCAP 2016-156 doc. 05,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_05/original.pdf,PDF,4,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,5,5,5,5,5,4,5,4,5,a2bec3c2871a20f6b3f6e0773d356f5d7df74e1895f9be160de6db38f3d94c13,348226
USGOV-NARA-0008,Telephone Conversation with President Boris Yeltsin,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1998-05-02,1998,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-06.pdf,,,ISCAP 2016-156 doc. 06,ISCAP 2016-156 doc. 06,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_06/original.pdf,PDF,5,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,5,5,5,5,5,4,5,4,5,8dccc134b98145cd6163abbbb3eeaf35fb2d432256ca4e75e39b4e62524d2c18,285572
USGOV-NARA-0009,Telephone Conversation with President Boris Yeltsin,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1998-08-25,1998,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-07.pdf,,,ISCAP 2016-156 doc. 07,ISCAP 2016-156 doc. 07,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_07/original.pdf,PDF,4,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,5,5,5,5,5,4,5,4,5,8c9b87624a2c72cd1cdcf5f7acecc2c97d3bb8ba953364fab8568874b89bf092,178312
USGOV-NARA-0010,Working Dinner with President Boris Yeltsin,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1993-04-03,1993,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-08.pdf,,,ISCAP 2016-156 doc. 08,ISCAP 2016-156 doc. 08,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_08/original.pdf,PDF,9,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,5,5,5,5,5,4,5,4,5,23fb3c59e30c3a79cd182728ad0b25e8c69dadc6622b3dcd3f61243532ce8c7d,394175
USGOV-NARA-0011,Meeting with Russian President Yeltsin on Security Issues,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1993-04-04,1993,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-09.pdf,,,ISCAP 2016-156 doc. 09,ISCAP 2016-156 doc. 09,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_09/original.pdf,PDF,12,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,5,5,5,5,5,4,5,4,5,3b70d132745ca643be2effc92485cfbd19d2896f077cb5223bcc87c7f2d76679,587223
USGOV-NARA-0012,Memorandum with President Boris Yeltsin,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1993-07-10,1993,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-10.pdf,,,ISCAP 2016-156 doc. 10,ISCAP 2016-156 doc. 10,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_10/original.pdf,PDF,9,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,5,5,5,5,5,4,5,4,5,ec381c17d8e71177f718d1af58bccc6c7d2d8015f32373ab4e405971c4e5f14a,368306
USGOV-NARA-0013,Summary Report on One-on-One Meeting Between Presidents Clinton and Yeltsin,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1995-05-10,1995,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-11.pdf,,,ISCAP 2016-156 doc. 11,ISCAP 2016-156 doc. 11,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_11/original.pdf,PDF,16,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,5,5,5,5,5,4,5,4,5,20c368a4e9c94ab37d04258d0527a0c440859ad4f96df69b1371c4d3d1c0e8c8,752904
USGOV-NARA-0014,"Lunch with Boris Yeltsin, President of Russian Federation",,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1995-11-23,1995,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-12.pdf,,,ISCAP 2016-156 doc. 12,ISCAP 2016-156 doc. 12,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_12/original.pdf,PDF,5,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,5,5,5,5,5,4,5,4,5,7acfae8630f4db084f20cab40aad2ee28bb375365df6a797315c5dd2bd0ccaaf,215501
USGOV-NARA-0015,Memorandum of Conversation Regarding President Boris Yeltsin,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1998-05-17,1998,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-13.pdf,,,ISCAP 2016-156 doc. 13,ISCAP 2016-156 doc. 13,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_13/original.pdf,PDF,8,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,5,5,5,5,5,4,5,4,5,d6e61aa29297689f341d9adf2985ec781dd4eb8e892fc3c5a76f5d4822f8328f,409410
USGOV-NARA-0016,Telephone Conversation with President Yeltsin,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1998-03-24,1998,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-14.pdf,,,ISCAP 2016-156 doc. 14,ISCAP 2016-156 doc. 14,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_14/original.pdf,PDF,5,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,5,5,5,5,5,4,5,4,5,80e0df5e4004e29893b719e231646805532b993317058f6c24312a8fa216c0fe,237931
USGOV-NARA-0017,Telephone Conversation with President Yeltsin,,White House record,White House record,National Archives and Records Administration / William J. Clinton Presidential Library,1999-04-19,1999,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,Clinton-Yeltsin diplomacy and strategic negotiations,Bill Clinton; Boris Yeltsin,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-15.pdf,,,ISCAP 2016-156 doc. 15,ISCAP 2016-156 doc. 15,GOVERNMENT/TRANSCRIPTS/clinton_yeltsin_15/original.pdf,PDF,6,,TRUE,FALSE,The White House,National Archives and Records Administration / William J. Clinton Presidential Library,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified verbatim or near-verbatim presidential telcon/memcon; primary dialogue,5,5,5,5,5,4,5,4,5,da4b346ee84cb28cff3be91386acd1964707d025c9f58a5a1f12a4047ba03a7b,255838
