source_id,pmcid,title,authors,year,doi,query,pdf_url,landing_url,host_source,license,file_path,sha256,file_size_bytes,access_date,access_status,http_status,error
EPMC-PMC12960456,PMC12960456,Soleus Muscle Stiffness is Regulated by Scaled Activation to Manage Unpredictable and Predictable Walking Perturbations.,"Bohm S, Ghasemi M, Theodorakis C, Mersmann F, Roberts T, Arampatzis A.",2026,10.1007/s10439-025-03928-3,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12960456.1/PMC12960456.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12960456/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/17e42eb30e85bacbc3ca0aadd5242820dbc6172be082ed254af418efa3b862ef.pdf,17e42eb30e85bacbc3ca0aadd5242820dbc6172be082ed254af418efa3b862ef,2213621,2026-09-21,downloaded,200,
EPMC-PMC12384677,PMC12384677,Principal Component Analysis of Stair Negotiation and Floor Transition Kinematics in Older Adults With and Without Functional Disability: Cross-Sectional Study.,"Moreira J, Teles IDS, Cunha B, Félix J, Guedes DC, Alves LAT, Santos R, Sousa ASP.",2025,10.2196/71530,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12384677.1/PMC12384677.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12384677/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/440f306f51e481662f4af8d985a0c60ce8ed4bac3e3137cd910d3a2a49304aeb.pdf,440f306f51e481662f4af8d985a0c60ce8ed4bac3e3137cd910d3a2a49304aeb,1317029,2026-09-21,downloaded,200,
EPMC-PMC12491594,PMC12491594,An incentive-aware federated bargaining approach for client selection in decentralized federated learning for IoT smart homes.,L JV.,2025,10.1038/s41598-025-17407-1,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12491594.1/PMC12491594.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12491594/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/4fac3378be0e4cb297766182eba00c96b8aa25f0ca166c198f80cb4b179e72fb.pdf,4fac3378be0e4cb297766182eba00c96b8aa25f0ca166c198f80cb4b179e72fb,3786994,2026-09-21,downloaded,200,
EPMC-PMC12383045,PMC12383045,Restoration of Joint Line Obliquity May Not Influence Lower Extremity Peak Frontal Plane Moments During Stair Negotiation.,"Nelson-Tranum AK, Ford MC, Hou N, Powell DW, Holland CT, Mihalko WM.",2025,10.3390/bioengineering12080803,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12383045.1/PMC12383045.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12383045/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/bb39082b1ae851d31a4844861fe7f1abacbcb467fc3b07d7a7cfa206569419d0.pdf,bb39082b1ae851d31a4844861fe7f1abacbcb467fc3b07d7a7cfa206569419d0,1140975,2026-09-21,downloaded,200,
EPMC-PMC12602659,PMC12602659,Long-term care insurance within married couples: Can't insure one without the other?,"Coe NB, Konetzka RT, Sun C, Van Houtven CH.",2025,10.1007/s11150-025-09779-0,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12602659.1/PMC12602659.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12602659/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/f9d6e5aaa4ff30e41ff98166c47ee1553af03835e25e2a942f920ab65d4a4f41.pdf,f9d6e5aaa4ff30e41ff98166c47ee1553af03835e25e2a942f920ab65d4a4f41,1142200,2026-09-21,downloaded,200,
EPMC-PMC12805980,PMC12805980,Integrating public engagement to promote transparent data use in a new UK-wide birth cohort.,"Raybould A, Dennison K, McBride O, Wong E, Calderwood L, Fearon P, Goodman A.",2025,10.23889/ijpds.v10i2.2965,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12805980.1/ijpds-10-2965-s001.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12805980/,PubMed Central,cc by-nc-nd,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/867c7486add7328ac567e29a76fc018ebbf511e1264868c1895420dbaeaae1b3.pdf,867c7486add7328ac567e29a76fc018ebbf511e1264868c1895420dbaeaae1b3,5206411,2026-09-21,downloaded,200,
EPMC-PMC12246459,PMC12246459,Body shape and labor market dynamics: analyzing salary information asymmetry and bargaining power.,"Ye C, Wang MY, Chou LC, Wu Q.",2025,10.1038/s41598-025-09982-0,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12246459.1/PMC12246459.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12246459/,PubMed Central,cc by-nc-nd,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/e24ce11d331212628a5ceabd8de2610faf678d9f64487c1225745985d586c367.pdf,e24ce11d331212628a5ceabd8de2610faf678d9f64487c1225745985d586c367,2458304,2026-09-21,downloaded,200,
EPMC-PMC10725904,PMC10725904,Price increase negotiations to address drug shortages in South Korea's national health insurance.,"Yu SR, Lee JH.",2023,10.3389/fphar.2023.1307462,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC10725904.1/PMC10725904.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC10725904/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/5f16a97e351b8b72dc175c729cdc33573b0bb83ffceb77f52fff754e6f670d7a.pdf,5f16a97e351b8b72dc175c729cdc33573b0bb83ffceb77f52fff754e6f670d7a,841804,2026-09-21,downloaded,200,
EPMC-PMC12676907,PMC12676907,From leisure motivation to recreation specialization: a study on the psychological mechanism of sustainable participation of ice and snow sports participants.,"Liang Y, Li J, Wang Z.",2025,10.3389/fpsyg.2025.1484550,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12676907.1/PMC12676907.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12676907/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/962d1c08abc63985ad731490e6ca5125f0d652e61e3431c8a0337009c2771569.pdf,962d1c08abc63985ad731490e6ca5125f0d652e61e3431c8a0337009c2771569,694072,2026-09-21,downloaded,200,
EPMC-PMC11004725,PMC11004725,Associations between women's bargaining power and the adoption of rust-resistant wheat varieties in Ethiopia.,"Euler M, Jaleta M, Gartaula H.",2024,10.1016/j.worlddev.2024.106567,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC11004725.1/PMC11004725.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC11004725/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/891c60385e20077c0cb492275a1578ab9f6419b55b1e0a1eadfef0ba183b6627.pdf,891c60385e20077c0cb492275a1578ab9f6419b55b1e0a1eadfef0ba183b6627,547605,2026-09-21,downloaded,200,
EPMC-PMC12697266,PMC12697266,Cost-effectiveness of sugemalimab plus chemotherapy as first-line therapy in advanced gastric cancer and gastroesophageal junction cancer.,"Zhu J, Li Z, Xu Q.",2025,10.1080/07853890.2025.2583551,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12697266.1/PMC12697266.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12697266/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/a949c9a7434f82da21921a56c36fc49f017859c1a32a80aeaa69709bc6e38db9.pdf,a949c9a7434f82da21921a56c36fc49f017859c1a32a80aeaa69709bc6e38db9,1590184,2026-09-21,downloaded,200,
EPMC-PMC12017475,PMC12017475,From algorithms to negotiations: Why health diplomacy must adapt.,"Wong BLH, Aslanyan G, Panichkriangkrai W, Leite RB, Mahmood J, Nordström A.",2025,10.1371/journal.pgph.0004488,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12017475.1/PMC12017475.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12017475/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/51809c0d301cf725a1faca1daca8ca402cda637611420a457fc2dca8f1456e96.pdf,51809c0d301cf725a1faca1daca8ca402cda637611420a457fc2dca8f1456e96,421482,2026-09-21,downloaded,200,
EPMC-PMC12074754,PMC12074754,Ten-Year Medicare Use and Spending on the 10 Drugs Selected for Negotiation Under the Inflation Reduction Act.,"Essa M, Ross JS, Dhruva SS, Desai NR, Spatz ES, Faridi KF.",2025,10.1161/jaha.124.034682,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12074754.1/PMC12074754.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12074754/,PubMed Central,cc by-nc,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/819604d025ffe65dc95fb53ee6e30636ae99f09abdfb97b18b7583fd48d4a7d5.pdf,819604d025ffe65dc95fb53ee6e30636ae99f09abdfb97b18b7583fd48d4a7d5,367033,2026-09-21,downloaded,200,
EPMC-PMC12477373,PMC12477373,Regional and cultural determinants of condom use attitudes among HIV seropositive heterosexuals in Ghana: A cross-sectional study.,"Abubakari AK, Gross J, Adusei-Poku E, Boateng IK, Asare RO, Dzamefe PK.",2025,10.1177/20503121251379306,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12477373.1/PMC12477373.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12477373/,PubMed Central,cc by-nc,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/0cd87b5f42be8a802e4dbb1d4e298d1b81be1104322c45ec682e21ce48d111e4.pdf,0cd87b5f42be8a802e4dbb1d4e298d1b81be1104322c45ec682e21ce48d111e4,542698,2026-09-21,downloaded,200,
EPMC-PMC12169585,PMC12169585,Transforming trade for vaccine equity: Policy gaps and barriers.,"Pepperrell T, Koivusalo M, Grant L, McCallum A.",2025,10.1371/journal.pgph.0004012,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12169585.1/PMC12169585.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12169585/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/903f5f02b7ec65dfd2355ace4f7fe24c259dd400ee89bfde0b30a74f5233a084.pdf,903f5f02b7ec65dfd2355ace4f7fe24c259dd400ee89bfde0b30a74f5233a084,985208,2026-09-21,downloaded,200,
EPMC-PMC12837013,PMC12837013,Explaining sex: contrast between social and sexual selection.,Roughgarden J.,2025,10.1186/s13293-025-00807-3,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12837013.1/PMC12837013.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12837013/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/119edf485b400871c37060759d67bb80e21c0174e02ff6954750ae7c4dbca00f.pdf,119edf485b400871c37060759d67bb80e21c0174e02ff6954750ae7c4dbca00f,1764604,2026-09-21,downloaded,200,
EPMC-PMC12193192,PMC12193192,"Breaking Barriers, Building Habits: Psychological Analysis of the Relationship Between Perceived Barriers, Financial Burden, and Social Support on Exercise Adherence Among Adults Aged 50 and Older in South Korea.","Hwang S, Yi ES.",2025,10.3390/healthcare13121469,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12193192.1/PMC12193192.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12193192/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/770842dc16665d6e496275a232b7e114bfbf7f16a152297f6bce90405fdca42c.pdf,770842dc16665d6e496275a232b7e114bfbf7f16a152297f6bce90405fdca42c,348982,2026-09-21,downloaded,200,
EPMC-PMC12862161,PMC12862161,The impact of vertical integration on health care delivery and costs: Evidence from physician-pharmacy integration.,Kakani P.,2025,10.1016/j.jhealeco.2025.103085,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12862161.1/PMC12862161.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12862161/,PubMed Central,cc by-nc-nd,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/5ebd07744b4a9556efa702bf8dfc5742308393f035a1a9a548b3fb1a3969ee37.pdf,5ebd07744b4a9556efa702bf8dfc5742308393f035a1a9a548b3fb1a3969ee37,1690107,2026-09-21,downloaded,200,
EPMC-PMC12374864,PMC12374864,"""The University Lives Anxiety and De-pression"": Diagnostic Uses and Affective Negotiations in Mental Health Care Services for University Students in Chile.","Cifuentes A, Radiszcz E, Ortega F.",2025,10.1007/s11013-025-09905-8,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12374864.1/PMC12374864.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12374864/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/c647217ec5e5071c61343ef651cfffddd0b67beb458e4c45304b35043c6dad85.pdf,c647217ec5e5071c61343ef651cfffddd0b67beb458e4c45304b35043c6dad85,704698,2026-09-21,downloaded,200,
EPMC-PMC12037441,PMC12037441,Pricing for Multi-Indication Drugs in the Italian Regulatory Context.,"Ursino MG, Milano A, De Angelis FV, Alessi E, Trotta F.",2025,10.1007/s41669-024-00555-x,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:negotiation OR TITLE_ABS:negotiations OR TITLE_ABS:bargaining),https://pmc-oa-opendata.s3.amazonaws.com/PMC12037441.1/PMC12037441.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12037441/,PubMed Central,cc by-nc,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/b3f26ea0c64fee564ccd2544badb0d311e59caf43fbecf46af1746d6fb1e6379.pdf,b3f26ea0c64fee564ccd2544badb0d311e59caf43fbecf46af1746d6fb1e6379,962620,2026-09-21,downloaded,200,
