country,date,document_number,error,language,listing_url,organization,provider,query,record_id,source_type,status,title,topics,url
Bosnia and Herzegovina,2019-12-01,148644,ValueError:stream_exceeds_limit:63025037,English,http://documents.worldbank.org/curated/en/943181589965509552/Self-Representation-Guide-for-Micro-Small-and-Medium-Sized-Enterprises-in-Republic-Srpska,World Bank,World Bank Documents & Reports,mediation,32052216,Report,FAILED,"Self-Representation Guide for Micro, Small and Medium-Sized Enterprises in Republic Srpska","Judicial System Reform,Law and Justice Institutions,Justice for the Poor,Taxation & Subsidies,Macro-Fiscal Policy,Economic Adjustment and Lending,Public Finance Decentralization and Poverty Reduction,Public Sector Economics,Tax Administration,Tax Law,Settlement of Investment Disputes",https://documents.worldbank.org/curated/en/943181589965509552/pdf/Self-Representation-Guide-for-Micro-Small-and-Medium-Sized-Enterprises-in-Republic-Srpska.pdf
Bosnia and Herzegovina,2019-12-01,148659,ValueError:stream_exceeds_limit:63033499,Bosnian,http://documents.worldbank.org/curated/en/757121589984713276/Self-Representation-Guide-for-Micro-Small-and-Medium-Sized-Enterprises-in-Federation-of-Bosnia-and-Herzegovina,World Bank,World Bank Documents & Reports,mediation,32053170,Report,FAILED,"Self Representation Guide for Micro, Small, and Medium-Sized Enterprises in Federation of Bosnia and Herzegovina","Judicial System Reform,Law and Justice Institutions,Justice for the Poor,Settlement of Investment Disputes,Crime and Society",https://documents.worldbank.org/curated/en/757121589984713276/pdf/Self-Representation-Guide-for-Micro-Small-and-Medium-Sized-Enterprises-in-Federation-of-Bosnia-and-Herzegovina.pdf
Brazil,2014-01-08,E4112,HTTPError:502 Server Error: Bad Gateway for url: https://documents.worldbank.org/curated/en/410841468015073067/pdf/E41120V30PORTU00Box385162B00PUBLIC0.pdf,Portuguese,http://documents.worldbank.org/curated/en/410841468015073067/Avaliacao-de-Impacto-Social-e-Ambiental-AISA-complementar-Jan-2014,World Bank,World Bank Documents & Reports,collective bargaining,19286025,Environmental Assessment,FAILED,"Brazil - Sao Paulo Transport, Climate Change and Disaster Risk Management Project : environmental assessment (Vol. 3) : Avaliacao de Impacto Social e Ambiental (AISA) : complementar Jan 2014.","Environmental Economics & Policies,Population Policies,Roads & Highways,Labor Policies,Transport Economics Policy & Planning",https://documents.worldbank.org/curated/en/410841468015073067/pdf/E41120V30PORTU00Box385162B00PUBLIC0.pdf
Bosnia and Herzegovina,2019-12-01,148644,ValueError:stream_exceeds_limit:62994068,Bosnian,http://documents.worldbank.org/curated/en/150751589975997023/Self-Representation-Guide-for-Micro-Small-and-Medium-Sized-Enterprises-in-Republic-Srpska,World Bank,World Bank Documents & Reports,mediation,32052560,Report,FAILED,"Self-Representation Guide for Micro, Small and Medium-Sized Enterprises in Republic Srpska",,https://documents.worldbank.org/curated/en/150751589975997023/pdf/Self-Representation-Guide-for-Micro-Small-and-Medium-Sized-Enterprises-in-Republic-Srpska.pdf
Croatia,2019-10-24,143858,"ConnectionError:('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",English,http://documents.worldbank.org/curated/en/313981574837287670/Doing-Business-2020-Comparing-Business-Regulation-in-190-Economies-Economy-Profile-of-Croatia,World Bank,World Bank Documents & Reports,collective bargaining,31588875,Working Paper,FAILED,Doing Business 2020 : Comparing Business Regulation in 190 Economies - Economy Profile of Croatia,"Bankruptcy and Resolution of Financial Distress,Energy Policies & Economics,Hydrology,International Trade and Trade Rules,Legal Reform,Legal Products,Judicial System Reform,Regulatory Regimes,Legislation,Social Policy,Industrial Management",https://documents.worldbank.org/curated/en/313981574837287670/pdf/Doing-Business-2020-Comparing-Business-Regulation-in-190-Economies-Economy-Profile-of-Croatia.pdf
Africa,2010-07-01,45091,"ReadTimeout:HTTPSConnectionPool(host='documents1.worldbank.org', port=443): Read timed out. (read timeout=20)",English,http://documents.worldbank.org/curated/en/195461468211166770/PETS-QSDS-in-Sub-Saharan-Africa-a-stocktaking-study,World Bank,World Bank Documents & Reports,collective bargaining,16505739,Working Paper,FAILED,PETS-QSDS in Sub-Saharan Africa : a stocktaking study,"Health Care Services Industry,Public Sector Economics,Public Sector Administrative & Civil Service Reform,Educational Sciences,Hydrology,Public Financial Management,Public Finance Decentralization and Poverty Reduction,Democratic Government,Public Sector Administrative and Civil Service Reform,De Facto Governments",https://documents.worldbank.org/curated/en/195461468211166770/pdf/450910REVISION0Box370064B00PUBLIC0.pdf
World,2017-01-01,112174,"ReadTimeout:HTTPSConnectionPool(host='documents1.worldbank.org', port=443): Read timed out. (read timeout=20)",English,http://documents.worldbank.org/curated/en/794121486383424061/Environmental-and-social-management-system-toolkit-general,World Bank,World Bank Documents & Reports,collective bargaining,27164424,Working Paper,FAILED,Environmental and social management system toolkit : general,"Human Rights,Health Care Services Industry,Hydrology,Global Environment,Disaster Management",https://documents.worldbank.org/curated/en/794121486383424061/pdf/112174-WP-ESMS-Toolkit-General-PUBLIC.pdf
St. Lucia,2007-06-01,43023,"ConnectionError:('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",English,http://documents.worldbank.org/curated/en/484921468302399135/Doing-business-2008-Saint-Lucia-a-project-benchmarking-the-regulatory-cost-of-doing-business-in-178-economies,World Bank,World Bank Documents & Reports,collective bargaining,9095997,Working Paper,FAILED,Doing business 2008 Saint Lucia : a project benchmarking the regulatory cost of doing business in 178 economies,"Social Policy,Legal Products,Judicial System Reform,Sanitation and Sewerage,Engineering,Common Property Resource Development,Energy Policies & Economics,Water and Human Health,Hydrology,International Trade and Trade Rules,Legal Reform,Water Supply and Sanitation Economics,Sanitary Environmental Engineering,Small Private Water Supply Providers,Environmental Engineering,Legislation,Regulatory Regimes,Town Water Supply and Sanitation",https://documents.worldbank.org/curated/en/484921468302399135/pdf/430230Doing0Business0WP020080StLucia0.pdf
Tajikistan,2007-06-01,43109,"ConnectionError:('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",English,http://documents.worldbank.org/curated/en/527541468132890031/Doing-business-2008-Tajikistan-a-project-benchmarking-the-regulatory-cost-of-doing-business-in-178-economies,World Bank,World Bank Documents & Reports,collective bargaining,9293292,Working Paper,FAILED,Doing business 2008 Tajikistan : a project benchmarking the regulatory cost of doing business in 178 economies,"Social Policy,Legal Products,Judicial System Reform,Common Property Resource Development,Energy Policies & Economics,Hydrology,International Trade and Trade Rules,Legal Reform,Legislation,Regulatory Regimes,Bankruptcy and Resolution of Financial Distress",https://documents.worldbank.org/curated/en/527541468132890031/pdf/431090optmzd0W1ness020080Tajikistan.pdf
Colombia,2002-09-06,,HTTPError:404 Client Error: Not Found for url: https://documents1.worldbank.org/curated/en/506941468241784531/pdf/CAE5AC61ADC81F1885256F0300169704.pdf,English,http://documents.worldbank.org/curated/en/506941468241784531/Conformed-Copy-L7134-Social-Sector-Adjustment-Loan-Loan-Agreement,World Bank,World Bank Documents & Reports,peace agreement,5086697,Loan Agreement,FAILED,Conformed Copy - L7134 - Social Sector Adjustment Loan - Loan Agreement,"Post Conflict Reintegration,Primary Metals,Health Care Services Industry,Post Conflict Reconstruction,Banks & Banking Reform,m,Educational Sciences,Health Insurance,Bankruptcy and Resolution of Financial Distress,Debt Markets,Emerging Markets,Health Economics & Finance",https://documents.worldbank.org/curated/en/506941468241784531/pdf/CAE5AC61ADC81F1885256F0300169704.pdf
Ukraine,2022-08-09,,"ConnectionError:('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",English,http://documents.worldbank.org/curated/en/099455008102224415/P178946023badb0570a5e90a01e09f5ec3a,World Bank,World Bank Documents & Reports,peace agreement,33880127,Agreement,FAILED,Official Documents- Amendment No. 1 to the Grant Agreement for Additional Financing Grant TF0B9038.pdf,,https://documents.worldbank.org/curated/en/099455008102224415/pdf/P178946023badb0570a5e90a01e09f5ec3a.pdf
World,2015-07-21,,"ConnectionError:('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",English,http://documents.worldbank.org/curated/en/343771468128119858/Official-Documents-Amendment-to-the-Administration-Agreement-with-Switzerland-for-Supplemental-Contribution-to-TF071295,World Bank,World Bank Documents & Reports,peace agreement,25801681,Agreement,FAILED,Official Documents- Amendment to the Administration Agreement with Switzerland for Supplemental Contribution to TF071295,Social Cohesion,https://documents.worldbank.org/curated/en/343771468128119858/pdf/RAD204080739.pdf
World,2015-11-12,,"ConnectionError:('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",English,http://documents.worldbank.org/curated/en/502581468329374643/Official-Documents-Amendment-to-the-Administration-Agreement-with-UNHCR-for-Supplemental-Contribution-to-TF071295,World Bank,World Bank Documents & Reports,peace agreement,25801687,Agreement,FAILED,Official Documents- Amendment to the Administration Agreement with UNHCR for Supplemental Contribution to TF071295,Social Cohesion,https://documents.worldbank.org/curated/en/502581468329374643/pdf/RAD207710262.pdf
Pakistan,2007-06-07,,"ConnectionError:('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",English,http://documents.worldbank.org/curated/en/133511468292259580/Financing-Agreement-C4316-PK-Conformed,World Bank,World Bank Documents & Reports,peace agreement,7717386,Financing Agreement,FAILED,"Financing Agreement, C4316-PK Conformed","Conflict and Fragile States,Economic Conditions and Volatility,Primary Metals,Mining & Extractive Industry (Non-Energy),Debt Markets,Post Conflict Reconstruction,Public Sector Corruption & Anticorruption Measures,Financial Intermediation,Corporate Law,Nonmetallic Mineral Product Manufacturing",https://documents.worldbank.org/curated/en/133511468292259580/pdf/NWFP0DPC0II0FA01CONFORMED1.pdf
World,2014-05-23,,"ConnectionError:('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",English,http://documents.worldbank.org/curated/en/413781468124187728/Official-Documents-Amendment-to-the-Administration-Agreement-with-SIDA-for-TF070948,World Bank,World Bank Documents & Reports,peace agreement,19767072,Agreement,FAILED,Official Documents- Amendment to the Administration Agreement with SIDA for TF070948,"Development Economics & Aid Effectiveness,Hazard Risk Management,Disaster Management,Foreign Aid,Social Risk Management",https://documents.worldbank.org/curated/en/413781468124187728/pdf/RAD1597117142.pdf
Argentina,1997-04-17,,HTTPError:404 Client Error: Not Found for url: https://documents1.worldbank.org/curated/en/926031468202134181/pdf/D17B9EF2F0A974B485256F03000E8C6E.pdf,English,http://documents.worldbank.org/curated/en/926031468202134181/Conformed-Copy-L4058-Coal-Sector-Adjustment-Loan-Loan-Agreement,World Bank,World Bank Documents & Reports,peace agreement,5082857,Loan Agreement,FAILED,Conformed Copy - L4058 - Coal Sector Adjustment Loan - Loan Agreement,"Conflict and Fragile States,Primary Metals,Mining & Extractive Industry (Non-Energy),Nonmetallic Mineral Product Manufacturing,m,Banks & Banking Reform,Bankruptcy and Resolution of Financial Distress,Debt Markets,Emerging Markets,Social Protections & Assistance",https://documents.worldbank.org/curated/en/926031468202134181/pdf/D17B9EF2F0A974B485256F03000E8C6E.pdf
Mexico,1999-12-14,,HTTPError:404 Client Error: Not Found for url: https://documents1.worldbank.org/curated/en/739671468271500507/pdf/1F1F39323FF0678785256F030015E6B0.pdf,English,http://documents.worldbank.org/curated/en/739671468271500507/Conformed-Copy-L7002-Decentralization-Adjustment-Loan-Loan-Agreement,World Bank,World Bank Documents & Reports,peace agreement,5086487,Loan Agreement,FAILED,Conformed Copy - L7002 - Decentralization Adjustment Loan - Loan Agreement,"Conflict and Fragile States,Consumption,Fiscal & Monetary Policy,Primary Metals,Mining & Extractive Industry (Non-Energy),m,Banks & Banking Reform,Microfinance,Bankruptcy and Resolution of Financial Distress,Debt Markets,Nonmetallic Mineral Product Manufacturing",https://documents.worldbank.org/curated/en/739671468271500507/pdf/1F1F39323FF0678785256F030015E6B0.pdf
Bolivia,1991-09-20,,HTTPError:404 Client Error: Not Found for url: https://documents1.worldbank.org/curated/en/820291468005994930/pdf/F4C2F99A4B9CBB0785256F0300068066.pdf,English,http://documents.worldbank.org/curated/en/820291468005994930/Conformed-Copy-C2298-Structural-Adjustment-Credit-Dutch-Grant-Agreement,World Bank,World Bank Documents & Reports,peace agreement,5077945,Grant or Trust Fund Agreement,FAILED,Conformed Copy - C2298 - Structural Adjustment Credit - Dutch Grant Agreement,"Conflict and Fragile States,Economic Adjustment and Lending,Primary Metals,Mining & Extractive Industry (Non-Energy),m,Post Conflict Reconstruction,Public Sector Corruption & Anticorruption Measures,Debt Markets,Nonmetallic Mineral Product Manufacturing",https://documents.worldbank.org/curated/en/820291468005994930/pdf/F4C2F99A4B9CBB0785256F0300068066.pdf
Colombia,2000-10-20,,HTTPError:404 Client Error: Not Found for url: https://documents1.worldbank.org/curated/en/961491468028799724/pdf/18B7D9FBC4CD9D8385256F0300116BDC.pdf,English,http://documents.worldbank.org/curated/en/961491468028799724/Conformed-Copy-L7012-Rural-Education-Project-Loan-Agreement,World Bank,World Bank Documents & Reports,peace agreement,5086503,Loan Agreement,FAILED,Conformed Copy - L7012 - Rural Education Project - Loan Agreement,"Adaptation to Climate Change,Public Sector Corruption & Anticorruption Measures,Banks & Banking Reform,Primary Education,m,Educational Institutions & Facilities,Effective Schools and Teachers,Bankruptcy and Resolution of Financial Distress,Debt Markets,Educational Sciences",https://documents.worldbank.org/curated/en/961491468028799724/pdf/18B7D9FBC4CD9D8385256F0300116BDC.pdf
