source_id,pmcid,title,authors,year,doi,query,pdf_url,landing_url,host_source,license,file_path,sha256,file_size_bytes,access_date,access_status,http_status,error
EPMC-PMC12684158,PMC12684158,Mediating religious disputes about children's medical treatment: a qualitative study.,Lindsey J.,2025,10.1136/bmjpo-2025-003789,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12684158.1/bmjpo-2025-003789.reviewer_comments.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12684158/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/7a255528721636ad0a83c34d7775dc41b812a986014a61652d4b38a4e09c0d7c.pdf,7a255528721636ad0a83c34d7775dc41b812a986014a61652d4b38a4e09c0d7c,107497,2026-09-23,downloaded,200,
EPMC-PMC12555211,PMC12555211,Social isolation and cardiovascular disease: mediation by health behaviors and metabolic factors,,2025,,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12555211.1/PMC12555211.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12555211/,PubMed Central,cc by-nc,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/43f8382bd5d273c25a66a5c48e958ac44ad153ae17f2280ed38b67202f3adecf.pdf,43f8382bd5d273c25a66a5c48e958ac44ad153ae17f2280ed38b67202f3adecf,51053,2026-09-23,downloaded,200,
EPMC-PMC12726953,PMC12726953,Phase angle was associated with improved cognitive function over time with mediation from pulse wave velocity in type 2 diabetes mellitus,"Low S, Goh K, Moh A, Ang K, Sum C, Subramaniam T, Lim S.",2025,,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12726953.1/PMC12726953.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12726953/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/f87ded4feaad7a56a6801a35a12b77837db97b3ca10110c6745b1ad30c1d9f09.pdf,f87ded4feaad7a56a6801a35a12b77837db97b3ca10110c6745b1ad30c1d9f09,92067,2026-09-23,downloaded,200,
EPMC-PMC12752369,PMC12752369,Effect of a conflict management workshop with simulated mediation and mock court proceedings: a mixed-methods study.,"Zhou YC, Tzeng WC, Fu CP, Hung YL, Shiao YC, Ng DY, Wang CC.",2025,10.1186/s12909-025-08345-7,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),,https://pmc.ncbi.nlm.nih.gov/articles/PMC12752369/,PubMed Central,cc by-nc-nd,,,,2026-09-23,failed,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
EPMC-PMC12725607,PMC12725607,Bidirectional Mediation Effects of Sleep and Brain Volume on Cognition in Older Adults,"Qin S, Ng E, Soon C, Chua X, Zhou J, Koh W, Chee M.",2025,,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12725607.1/PMC12725607.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12725607/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/b2609e3818218c1b0c67f542bb4a348900868330646c3388c855a00b4a4036d2.pdf,b2609e3818218c1b0c67f542bb4a348900868330646c3388c855a00b4a4036d2,151148,2026-09-23,downloaded,200,
EPMC-PMC12508514,PMC12508514,RETRACTION: Interleukin-33 Links Asthma to Alopecia Areata: Mendelian Randomization and Mediation Analysis.,,2025,10.1111/srt.70271,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12508514.1/PMC12508514.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12508514/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/544d6e5eb42ecc22bd78fd000ce268b961b44a0ec364072fbdce947c7c82a630.pdf,544d6e5eb42ecc22bd78fd000ce268b961b44a0ec364072fbdce947c7c82a630,86120,2026-09-23,downloaded,200,
EPMC-PMC12555528,PMC12555528,Parenting in a digital world: parental self-efficacy and digital mediation among parents in Sweden,,2025,,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),,https://pmc.ncbi.nlm.nih.gov/articles/PMC12555528/,PubMed Central,cc by-nc,,,,2026-09-23,failed,200,ValueError: no_s3_pdf
EPMC-PMC12737897,PMC12737897,Bidirectional Mediation Effects of Sleep and Brain Volume on Cognition in Older Adults,"Qin S, Ng E, Soon C, Chua X, Zhou J, Koh W, Chee M.",2025,,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12737897.1/PMC12737897.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12737897/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/fc96840d86d1c4df0c4d7cc55d2ede6db455d991a31e8ef040ee2d2d77dc95ca.pdf,fc96840d86d1c4df0c4d7cc55d2ede6db455d991a31e8ef040ee2d2d77dc95ca,159037,2026-09-23,downloaded,200,
EPMC-PMC12556635,PMC12556635,"An Exploratory Mediation Analysis of Sexual Assault Experiences, Depression, and Heavy Substance Use",,2025,,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12556635.1/PMC12556635.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12556635/,PubMed Central,cc by-nc,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/c3d5d6b5da9b8200a65efd0164ed5e4b62f10013ab141f764dfde11e357a6610.pdf,c3d5d6b5da9b8200a65efd0164ed5e4b62f10013ab141f764dfde11e357a6610,53399,2026-09-23,downloaded,200,
EPMC-PMC12649227,PMC12649227,Enhancing Mental Health Through Retirement Planning Achievement: A Moderated Mediation Model and Income Group Differences.,"Yuan J, Jian P, Han B.",2025,10.3390/bs15111593,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12649227.1/PMC12649227.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12649227/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/be5d0078190feeeabce11857d9b90b1bd61e84f7fc1ab569ab0f17a8b214f298.pdf,be5d0078190feeeabce11857d9b90b1bd61e84f7fc1ab569ab0f17a8b214f298,2162463,2026-09-23,downloaded,200,
EPMC-PMC12760338,PMC12760338,What Enables True “Respite”? Mediation Pathways of Caregiver Well-Being and Supply-Demand Matching in Respite Care,,2025,,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12760338.1/PMC12760338.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12760338/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/f12daa09ae2827f7bbcf6f23afdc969b7b172f347dafcc4eb7c0f15187499ff4.pdf,f12daa09ae2827f7bbcf6f23afdc969b7b172f347dafcc4eb7c0f15187499ff4,265717,2026-09-23,downloaded,200,
EPMC-PMC12745155,PMC12745155,A novel strategy for detecting multiple mediators in high-dimensional mediation models.,"Yen PS, Zhou Z, Sahu S, Nandi D, Ajilore O, Bhaumik D.",2025,10.3389/fpsyt.2025.1611761,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12745155.1/Table1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12745155/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/86d242e3fe7d4967e3f013ed631eee9c6dd7121a94c08fb81b2d509005ab1c44.pdf,86d242e3fe7d4967e3f013ed631eee9c6dd7121a94c08fb81b2d509005ab1c44,188662,2026-09-23,downloaded,200,
EPMC-PMC12825573,PMC12825573,"Commentary on ""Complex causal association between immune cell phenotypes and bladder cancer: a Mendelian randomization and mediation study"".","Tong H, Sun Y, He W.",2026,10.1097/js9.0000000000003587,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12825573.1/PMC12825573.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12825573/,PubMed Central,cc by-nc-sa,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/971b41a92265934ea57e4966d874d6c1ed764a843b92824931aa5cd05947fa2e.pdf,971b41a92265934ea57e4966d874d6c1ed764a843b92824931aa5cd05947fa2e,101546,2026-09-23,downloaded,200,
EPMC-PMC12835636,PMC12835636,Effects of Loneliness and Subjective Well-Being on Depression in Female Adolescents: A Longitudinal Moderated Mediation Model of the Parental Relationship.,"Choi H, Lee J, Kim E, Youm Y, Sung K, Han DG, Park MH.",2026,10.30773/pi.2025.0297,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12835636.1/PMC12835636.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12835636/,PubMed Central,cc by-nc,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/697a3a08ead6e49c7023796b1aef7fdc7358480e73a9830a2497c26822186d51.pdf,697a3a08ead6e49c7023796b1aef7fdc7358480e73a9830a2497c26822186d51,315650,2026-09-23,downloaded,200,
EPMC-PMC12731624,PMC12731624,Beyond Restriction: Relationship Quality and Gender as Moderators of the Association Between Parental Restrictive Mediation and Adolescent Cyberbullying in China.,"Xie X, Xiao B, Hu Y, Shapka J, Liu J.",2025,10.3390/children12121604,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12731624.1/PMC12731624.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12731624/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/827f2f7915fc4073029b2d5c2778c769c863e7c3f0dd4db0c1bd8130a76ce7de.pdf,827f2f7915fc4073029b2d5c2778c769c863e7c3f0dd4db0c1bd8130a76ce7de,520473,2026-09-23,downloaded,200,
EPMC-PMC13370664,PMC13370664,When Social Media Shapes Appearance Consciousness: Parental Mediation in Problematic Media Usage and Emotional Intelligence Profiles.,"de Armas Cortés E, Martínez Torresa JL, Torralbas Osléa JE.",2025,10.11621/pir.2025.0406,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC13370664.1/PMC13370664.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC13370664/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/a6f05e2faf7ec6e4d137a02dcbd0eb38a4d3366a9f732f82ebac72219d01736f.pdf,a6f05e2faf7ec6e4d137a02dcbd0eb38a4d3366a9f732f82ebac72219d01736f,629191,2026-09-23,downloaded,200,
EPMC-PMC12838267,PMC12838267,The Effect of Organizational Support Climate on Employees' Positive Deviance: A Parallel Mediation Model.,"Meng Y, Huang M.",2025,10.3390/bs16010053,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12838267.1/PMC12838267.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12838267/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/ccba1c5bb81d9afcb29ece8c6c1ab4b15cd804326942f0fba108a995510ef2fc.pdf,ccba1c5bb81d9afcb29ece8c6c1ab4b15cd804326942f0fba108a995510ef2fc,519020,2026-09-23,downloaded,200,
EPMC-PMC12626266,PMC12626266,Influence of exercise commitment on exercise adherence among undergraduate students: Chain mediation role of health beliefs and exercise behavior.,"Ren J, Song P.",2025,10.1371/journal.pone.0337226,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12626266.1/PMC12626266.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12626266/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/2d5ef9027d1fe862f8393f8b052ad4e96f68e9d76e64457f48727c5ef1cec8a1.pdf,2d5ef9027d1fe862f8393f8b052ad4e96f68e9d76e64457f48727c5ef1cec8a1,398408,2026-09-23,downloaded,200,
EPMC-PMC12760865,PMC12760865,"The relationship between social isolation, depression, and cognition: The mediation analysis of depression",,2025,,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12760865.1/PMC12760865.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12760865/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/2b8f589befb2496cc4d4162b179b06c2acd3ae6a0303f61b07539197c88df83e.pdf,2b8f589befb2496cc4d4162b179b06c2acd3ae6a0303f61b07539197c88df83e,745431,2026-09-23,downloaded,200,
EPMC-PMC12763779,PMC12763779,Social Participation and HRQoL with Neurodevelopmental Disabilities: Mediation by Everyday Living Capabilities,,2025,,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12763779.1/PMC12763779.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12763779/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/3a76e8c74ab742c7bc4cea69cf9d84aba5f78b92a6e1a844739b6236794ba4dc.pdf,3a76e8c74ab742c7bc4cea69cf9d84aba5f78b92a6e1a844739b6236794ba4dc,1106988,2026-09-23,downloaded,200,
EPMC-PMC12531452,PMC12531452,"RETRACTION: Causal Relationship Between Diet, Lipids, Immune Cells, and Chronic Fatigue Syndrome: A Two-Mediation Mendelian Randomization Study.",,2025,10.1002/fsn3.71097,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12531452.1/PMC12531452.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12531452/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/4a1b864ae0989a4ba36c7ce37503b5a7514850551c2a96b0ed817c1117a19233.pdf,4a1b864ae0989a4ba36c7ce37503b5a7514850551c2a96b0ed817c1117a19233,114649,2026-09-23,downloaded,200,
EPMC-PMC12856229,PMC12856229,From Resilience to Self-Efficacy: Cross-Cultural Mediation Effects of Emotion Regulation and Perceived Social Support in Adolescents.,Ntumi S.,2026,10.1002/pchj.70070,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12856229.1/PMC12856229.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12856229/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/1349ac0ce200bc8f13f7221c46f1c12a01d5a0de62fc31b91210196f4fd51056.pdf,1349ac0ce200bc8f13f7221c46f1c12a01d5a0de62fc31b91210196f4fd51056,809945,2026-09-23,downloaded,200,
EPMC-PMC12722853,PMC12722853,The impact of physical activity on college students' well-being: parallel and chain mediation effects of academic anxiety and social support.,"Chang J, Li J.",2025,10.3389/fpsyg.2025.1683053,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12722853.1/PMC12722853.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12722853/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/b3f78addd349280657e34623b8645e66abea281f12fec5abcd582e127808998c.pdf,b3f78addd349280657e34623b8645e66abea281f12fec5abcd582e127808998c,941233,2026-09-23,downloaded,200,
EPMC-PMC12677870,PMC12677870,Exploring the Impact of Perceived Parental Oversight on Problematic Smartphone Use Among Adolescents in the Digital Age: Database Analysis.,"Ho M, Schulz PJ, Chang A.",2025,10.2196/75837,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12677870.1/PMC12677870.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12677870/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/e1a401260280d8b97fd6efeec1cbb1b101cdc51d79a3d3a3c51887b83698c3b9.pdf,e1a401260280d8b97fd6efeec1cbb1b101cdc51d79a3d3a3c51887b83698c3b9,320279,2026-09-23,downloaded,200,
EPMC-PMC12761566,PMC12761566,Social Support and Mental Health of Older Adults in Sub-Saharan Africa: An Exploratory Chain Mediation Analysis,,2025,,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12761566.1/PMC12761566.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12761566/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/fdda47fb73467e2e3f490c3edfe9b75d78d709b3c3093df2f585a8a6f8ac0661.pdf,fdda47fb73467e2e3f490c3edfe9b75d78d709b3c3093df2f585a8a6f8ac0661,1102453,2026-09-23,downloaded,200,
