SOURCE_ID,TITLE,SUBTITLE,AUTHOR,AUTHORS,ORGANIZATION,DATE,YEAR,LANGUAGE,COUNTRY,SOURCE_TYPE,DOMAIN,SUBDOMAIN,TOPICS,CASE_NAME,PARTICIPANTS,URL,DOI,ISBN,ARCHIVE_ID,DOCUMENT_NUMBER,FILE_PATH,FILE_FORMAT,PAGE_COUNT,WORD_COUNT,PRIMARY_SOURCE,SECONDARY_SOURCE,ORIGINAL_SOURCE,HOST_SOURCE,ACCESS_DATE,ACCESS_STATUS,COPYRIGHT_STATUS,LICENSE,TRAINING_PERMISSION,PROVENANCE,RELIABILITY_SCORE,TRAINING_VALUE,UNIQUENESS_SCORE,CASE_VALUE,TRANSCRIPT_VALUE,SOURCE_QUALITY,OCR_REQUIRED,OCR_QUALITY,DUPLICATE_STATUS,PARENT_SOURCE,RELATED_SOURCES,NOTES,SHA256,FILE_SIZE_BYTES,AUTHORITY,PRIMARY_SOURCE_VALUE,RELIABILITY,NEGOTIATION_RELEVANCE,INFORMATION_DENSITY,CASE_DETAIL,TACTICAL_DETAIL,STRATEGIC_DETAIL,OUTCOME_VISIBILITY,COUNTERPARTY_VISIBILITY,UNIQUENESS
MA-FITBIT-GOOGLE-2019,Fitbit Definitive Proxy Statement: Google Merger,,,,"Fitbit, Inc.; U.S. Securities and Exchange Commission",2019-12-12,2019,English,United States,SEC merger proxy,MA,technology M&A,strategic alternatives;bidding;offers;board process;merger agreement,Google acquisition of Fitbit,Fitbit;Google;other bidders,https://www.sec.gov/Archives/edgar/data/1447599/000162828019015006/fitbitdefinitiveproxy.htm,,,,SEC 0001628280-19-015006,negotiations/MA/fitbit_google_definitive_proxy_2019/original.html,HTML,,133275,TRUE,FALSE,TRUE,U.S. Securities and Exchange Commission,2026-09-20,ACQUIRED,Publicly accessible official document; rights retained by issuing body where applicable,Official public access; no license inference,REVIEW_REQUIRED,Downloaded directly from official host on 2026-09-20; native file preserved unchanged,5,5,4,5,0,5,FALSE,N/A,UNIQUE_IN_BATCH,,,Official EDGAR filing; contains detailed sale process and agreement terms.,5ad2adf6b72f239042d64c309565ab9196a6e8aa3e403af73e8da94cbecd9530,1918679,5,5,5,5,5,5,5,5,5,4,4
MA-LINKEDIN-MSFT-2016,LinkedIn Definitive Proxy Statement: Microsoft Merger,,,,LinkedIn Corporation; U.S. Securities and Exchange Commission,2016-07-22,2016,English,United States,SEC merger proxy,MA,technology M&A,auction;offers;counteroffers;exclusivity;termination fee;board process,Microsoft acquisition of LinkedIn,Microsoft;LinkedIn;Party A;Qatalyst Partners,https://www.sec.gov/Archives/edgar/data/1271024/000104746916014430/a2229104zdefm14a.htm,,,,SEC 0001047469-16-014430,negotiations/MA/linkedin_microsoft_definitive_proxy_2016/original.html,HTML,,139706,TRUE,FALSE,TRUE,U.S. Securities and Exchange Commission,2026-09-20,ACQUIRED,Publicly accessible official document; rights retained by issuing body where applicable,Official public access; no license inference,REVIEW_REQUIRED,Downloaded directly from official host on 2026-09-20; native file preserved unchanged,5,5,4,5,0,5,FALSE,N/A,UNIQUE_IN_BATCH,,,Official EDGAR filing; contains detailed background of merger and annexed merger agreement.,996f75581d669eada2836e0f732a9f01fb284a71a6728b7690fb20b5d189816b,1518876,5,5,5,5,5,5,5,5,5,4,4
MA-TWITTER-MUSK-2022,Twitter Definitive Proxy Statement: Musk Merger,,,,"Twitter, Inc.; U.S. Securities and Exchange Commission",2022-07-26,2022,English,United States,SEC merger proxy,MA,technology M&A,unsolicited offer;board process;merger negotiation;financing;termination,Elon Musk acquisition of Twitter,Twitter;Elon Musk;Morgan Stanley,https://www.sec.gov/Archives/edgar/data/1418091/000119312522202163/d283119ddefm14a.htm,,,,SEC 0001193125-22-202163,negotiations/MA/twitter_musk_definitive_proxy_2022/original.html,HTML,,167203,TRUE,FALSE,TRUE,U.S. Securities and Exchange Commission,2026-09-20,ACQUIRED,Publicly accessible official document; rights retained by issuing body where applicable,Official public access; no license inference,REVIEW_REQUIRED,Downloaded directly from official host on 2026-09-20; native file preserved unchanged,5,5,4,5,0,5,FALSE,N/A,UNIQUE_IN_BATCH,,,Official EDGAR filing; contains chronology and merger agreement.,3bd38859499628a7eb588832a7475a4c6457fcacfea8d4ee97168270f5bcab5f,1871309,5,5,5,5,5,5,5,5,5,4,4
PEACE-BELFAST-1998-AGREEMENT,The Belfast Agreement,,,,Northern Ireland Office,,1998,English,United Kingdom,agreement,peace/diplomatic,,peace negotiation;power sharing;Good Friday Agreement,Northern Ireland peace process,,https://assets.publishing.service.gov.uk/media/619500728fa8f5037d67b678/The_Belfast_Agreement_An_Agreement_Reached_at_the_Multi-Party_Talks_on_Northern_Ireland.pdf,,,,,PEACE/NORTHERN_IRELAND/PEACE-BELFAST-1998-AGREEMENT/original.pdf,PDF,,,true,false,Northern Ireland Office,Northern Ireland Office,2026-09-20,ACQUIRED,official public web publication,,REVIEW_REQUIRED,Downloaded directly from official Northern Ireland Office host; original bytes preserved,5,4,3,5,0,5,false,,UNIQUE,,,,c9699ca7fbcb36632f34be575ec560acc90546fc857fc75afb0d81b0cb1765e6,10091487,5,5,5,5,4,5,3,5,5,5,3
PHARMA-PFIZER-BNTX-2020,Collaboration Agreement between Pfizer Inc. and BioNTech SE,,,,BioNTech SE; U.S. Securities and Exchange Commission,2020-03-17,2020,English,United States;Germany,filed collaboration agreement,PHARMA,pharmaceutical licensing,co-development;commercialization;licensing;governance;cost sharing;termination,Pfizer-BioNTech COVID-19 vaccine collaboration,Pfizer;BioNTech,https://www.sec.gov/Archives/edgar/data/1776985/000119312520195911/d939702dex1045.htm,,,,SEC Exhibit 10.45,negotiations/PHARMA/pfizer_biontech_collaboration_agreement_2020/original.html,HTML,,62035,TRUE,FALSE,TRUE,U.S. Securities and Exchange Commission,2026-09-20,ACQUIRED,Publicly accessible official document; rights retained by issuing body where applicable,Official public access; no license inference,REVIEW_REQUIRED,Downloaded directly from official host on 2026-09-20; native file preserved unchanged,5,5,4,5,0,5,FALSE,N/A,UNIQUE_IN_BATCH,,,Official EDGAR exhibit; limited redactions marked in filing.,0b55e87cf65d098f312a6a73ed3846bb3e2143ceb7577615f8e6ca61a88e7ebe,1912703,5,5,5,5,5,5,3,4,5,4,4
SCH-1994-024,Auctions vs. Negotiations,,Jeremy Bulow,Jeremy Bulow; Paul Klemperer,National Bureau of Economic Research; St. Catherine University; University of Oxford; Stanford University,1994-01-01,1994,en,US; GB,scholarly paper,negotiation science,Auction Theory and Applications,"Auction Theory and Applications; Law, Economics, and Judicial Systems; Corporate Finance and Governance",,,https://www.nber.org/system/files/working_papers/w4608/w4608.pdf,10.3386/w4608,,W1605899790,,negotiations/PAPERS/SCH-1994-024_auctions-vs-negotiations/original.pdf,PDF,22,,FALSE,TRUE,https://doi.org/10.3386/w4608,www.nber.org,2026-09-20,ACQUIRED,Legally accessible open-access repository copy,Open-access copy; specific license not stated by repository,REVIEW_LICENSE,OpenAlex discovery record https://openalex.org/W1605899790; downloaded directly from www.nber.org on 2026-09-20,5,4,4,2,0,5,FALSE,N/A,UNIQUE_BY_SHA256,,https://openalex.org/W2263703840; https://openalex.org/W3125419042; https://openalex.org/W2069705450; https://openalex.org/W2322802588; https://openalex.org/W2401058949; https://openalex.org/W203077648; https://openalex.org/W995038129; https://openalex.org/W2991784296,OpenAlex cited_by_count=233; OA status=green,947b1348b7a30ee96678807bfef1934ce4cd4a5208494a9e725cc4351a7570ff,226295,5,1,,5,4,3,3,4,3,3,4
SCH-1994-030,International Multilateral Negotiation: Approaches to the Management of Complexity,,I.W. Zartman,I.W. Zartman,,1994-01-01,1994,en,,scholarly paper,negotiation science,Business Strategy and Innovation,Business Strategy and Innovation,,,http://pure.iiasa.ac.at/id/eprint/3989/1/XB-94-006.pdf,,,W585655503,,negotiations/PAPERS/SCH-1994-030_international-multilateral-negotiation-approaches-to-the-management-of-complexit/original.pdf,PDF,270,,FALSE,TRUE,http://pure.iiasa.ac.at/id/eprint/3989/1/XB-94-006.pdf,pure.iiasa.ac.at,2026-09-20,ACQUIRED,Legally accessible open-access repository copy,public-domain,REVIEW_LICENSE,OpenAlex discovery record https://openalex.org/W585655503; downloaded directly from pure.iiasa.ac.at on 2026-09-20,5,4,4,2,0,5,FALSE,N/A,UNIQUE_BY_SHA256,,https://openalex.org/W2340454877; https://openalex.org/W2126380843; https://openalex.org/W2115172295; https://openalex.org/W2144083023; https://openalex.org/W2318228188; https://openalex.org/W2153031274; https://openalex.org/W2168202480; https://openalex.org/W2068869385,OpenAlex cited_by_count=214; OA status=green,b82b10a45d09d018531f35d4139b269ad6d5b6f39a3e78cd92f8c257b0344d65,7371875,5,1,,5,4,3,3,4,3,3,4
SCH-1999-016,Analogical encoding facilitates knowledge transfer in negotiation,,Jeffrey Loewenstein,Jeffrey Loewenstein; Leigh Thompson; Dedre Gentner,Northwestern University,1999-12-01,1999,en,US,scholarly paper,negotiation science,"Language, Metaphor, and Cognition","Language, Metaphor, and Cognition; Team Dynamics and Performance; Conflict Management and Negotiation",,,https://link.springer.com/content/pdf/10.3758/BF03212967.pdf,10.3758/bf03212967,,W2011885271,,negotiations/PAPERS/SCH-1999-016_analogical-encoding-facilitates-knowledge-transfer-in-negotiation/original.pdf,PDF,12,,FALSE,TRUE,https://doi.org/10.3758/bf03212967,link.springer.com,2026-09-20,ACQUIRED,Legally accessible open-access repository copy,Open-access copy; specific license not stated by repository,REVIEW_LICENSE,OpenAlex discovery record https://openalex.org/W2011885271; downloaded directly from link.springer.com on 2026-09-20,5,4,4,2,0,5,FALSE,N/A,UNIQUE_BY_SHA256,,https://openalex.org/W2899084033; https://openalex.org/W2748952813; https://openalex.org/W1574321967; https://openalex.org/W1994707871; https://openalex.org/W2375439106; https://openalex.org/W2011885271; https://openalex.org/W4213432393; https://openalex.org/W2050395060,OpenAlex cited_by_count=296; OA status=bronze,5938a4dc5698e1cdcb80079ece853be795070e6f47e17fc4874a9d598f703b1a,1373322,5,1,,5,4,3,3,4,3,3,4
SCH-2006-049,Multi-Issue Negotiation with Deadlines,,S. S. Fatima,S. S. Fatima; Michael Wooldridge; Nicholas R. Jennings,University of Liverpool; University of Southampton,2006-11-28,2006,en,GB,scholarly paper,negotiation science,Game Theory and Voting Systems,Game Theory and Voting Systems; Auction Theory and Applications; Game Theory and Applications,,,https://jair.org/index.php/jair/article/download/10474/25105,10.1613/jair.2056,,W2144187367,,negotiations/PAPERS/SCH-2006-049_multi-issue-negotiation-with-deadlines/original.pdf,PDF,37,,FALSE,TRUE,https://doi.org/10.1613/jair.2056,jair.org,2026-09-20,ACQUIRED,Legally accessible open-access repository copy,cc-by,REVIEW_LICENSE,OpenAlex discovery record https://openalex.org/W2144187367; downloaded directly from jair.org on 2026-09-20,5,4,4,2,0,5,FALSE,N/A,UNIQUE_BY_SHA256,,https://openalex.org/W2133110771; https://openalex.org/W2079755863; https://openalex.org/W2005903705; https://openalex.org/W2142967102; https://openalex.org/W2733697606; https://openalex.org/W1963790170; https://openalex.org/W2073298047; https://openalex.org/W2033790662,OpenAlex cited_by_count=141; OA status=diamond,9fc886ef557d7325b94d7494a17799f77e1930dd3d2218b97ab46fcefb834d7c,287002,5,1,,5,4,3,3,4,3,3,4
SCH-2008-011,Merger negotiations and the toehold puzzle☆,,Sandra Betton,Sandra Betton; B. Espen Eckbo; Karin S. Thorburn,Concordia University; Dartmouth College,2008-11-12,2008,en,CA; US,scholarly paper,negotiation science,Corporate Finance and Governance,Corporate Finance and Governance; Auction Theory and Applications; Economic Policies and Impacts,,,https://repository.upenn.edu/bitstreams/8e3c3465-09cd-4f1b-abfb-941efe089375/download,10.1016/j.jfineco.2008.02.004,,W3125626571,,negotiations/PAPERS/SCH-2008-011_merger-negotiations-and-the-toehold-puzzle/original.pdf,PDF,48,,FALSE,TRUE,https://doi.org/10.1016/j.jfineco.2008.02.004,repository.upenn.edu,2026-09-20,ACQUIRED,Legally accessible open-access repository copy,cc-by-nc-nd,REVIEW_LICENSE,OpenAlex discovery record https://openalex.org/W3125626571; downloaded directly from repository.upenn.edu on 2026-09-20,5,4,4,3,0,5,FALSE,N/A,UNIQUE_BY_SHA256,,https://openalex.org/W4391375266; https://openalex.org/W2355561715; https://openalex.org/W2355326491; https://openalex.org/W2389286292; https://openalex.org/W2360751371; https://openalex.org/W2387920521; https://openalex.org/W2389754756; https://openalex.org/W2382224273,OpenAlex cited_by_count=320; OA status=green,a8d59a921cb9100aacc3eef63e848d9c0289f5e86ac5f8f718c7c8c38ba74bd1,451445,5,1,,5,4,3,3,4,3,3,4
SCH-2009-021,"Mediation, arbitration and negotiation",,Maria Goltsman,Maria Goltsman; Johannes Hörner; Gregory Pavlov; Francesco Squintani,Western University; Yale University; University of Essex; University of Brescia,2009-03-27,2009,en,CA; US; GB; IT,scholarly paper,negotiation science,Auction Theory and Applications,Auction Theory and Applications; Game Theory and Applications; Corporate Finance and Governance,,,https://discovery.ucl.ac.uk/14440/1/14440.pdf,10.1016/j.jet.2008.08.010,,W2208680581,,negotiations/PAPERS/SCH-2009-021_mediation-arbitration-and-negotiation/original.pdf,PDF,36,,FALSE,TRUE,https://doi.org/10.1016/j.jet.2008.08.010,discovery.ucl.ac.uk,2026-09-20,ACQUIRED,Legally accessible open-access repository copy,Open-access copy; specific license not stated by repository,REVIEW_LICENSE,OpenAlex discovery record https://openalex.org/W2208680581; downloaded directly from discovery.ucl.ac.uk on 2026-09-20,5,4,4,2,0,5,FALSE,N/A,UNIQUE_BY_SHA256,,https://openalex.org/W4253334520; https://openalex.org/W1547970490; https://openalex.org/W2920986693; https://openalex.org/W3192200030; https://openalex.org/W197183991; https://openalex.org/W1913337491; https://openalex.org/W2525690271; https://openalex.org/W4386845240,OpenAlex cited_by_count=246; OA status=green,a0b102dcbe90f5344032bc2aaa23e6fa4b213efd2f7a1dd47ad4fa14041d4ba4,297317,5,1,,5,4,3,3,4,3,3,4
USGOV-NARA-0001,Soviet and U.S. Delegations to INTELSAT: Memorandum of Conversation,,White House record,White House record,National Archives and Records Administration,1969-02-25,1969,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,INTELSAT negotiations,Leonard Marks; Minoshin; Aldoshin; Thacher,https://www.archives.gov/files/declassification/iscap/pdf/2014-045-doc15.pdf,,,ISCAP 2014-045 doc. 15,ISCAP 2014-045 doc. 15,GOVERNMENT/TRANSCRIPTS/intelsat_us_soviet_memcon/original.pdf,PDF,2,,TRUE,FALSE,The White House,National Archives and Records Administration,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified direct memorandum of conversation showing positions and framing,d96ae413696963cafae18314214aec160ca5678ff4c442af243430d8d7fa210a,1177430,5,5,,5,5,5,4,5,4,5,
USGOV-NARA-0002,Pakistani and U.S. Delegations to INTELSAT: Memorandum of Conversation,,White House record,White House record,National Archives and Records Administration,1969-01-15,1969,English,United States,Declassified memorandum/telephone conversation,Diplomatic and strategic negotiation,Presidential diplomacy,negotiation; diplomacy; offers; leverage; strategy; implementation,INTELSAT negotiations,Pakistani delegation; U.S. delegation,https://www.archives.gov/files/declassification/iscap/pdf/2014-045-doc16.pdf,,,ISCAP 2014-045 doc. 16,ISCAP 2014-045 doc. 16,GOVERNMENT/TRANSCRIPTS/intelsat_us_pakistan_memcon/original.pdf,PDF,3,,TRUE,FALSE,The White House,National Archives and Records Administration,2026-09-20,ACQUIRED,U.S. Government work / public record,Publicly released by U.S. Government,REVIEW_ALLOWED_USE,Downloaded directly from official .gov presidential/NARA URL on 2026-09-20; byte-preserved.,5,5,5,5,5,5,YES,Not assessed,UNIQUE_IN_BATCH,,,Declassified direct memorandum of conversation,9cbc043efa84e0e09b9fa8f5a82326ac6f8668bb80a9909907f6971801e216bf,1044698,5,5,,5,5,5,4,5,4,5,
