CONCEPT,SOURCE_COUNT,SOURCE_IDS
diplomacy,22,USGOV-NARA-0001; USGOV-NARA-0002; USGOV-NARA-0003; USGOV-NARA-0004; USGOV-NARA-0005; USGOV-NARA-0006; USGOV-NARA-0007; USGOV-NARA-0008; USGOV-NARA-0009; USGOV-NARA-0010; USGOV-NARA-0011; USGOV-NARA-0012; USGOV-NARA-0013; USGOV-NARA-0014; USGOV-NARA-0015; USGOV-NARA-0016; USGOV-NARA-0017; USGOV-PRES-0001; USGOV-PRES-0002; USGOV-PRES-0003; USGOV-PRES-0004; USGOV-PRES-0005
dispute prevention,1,LAB-ILO-CB-GUIDE-2015
enforcement,1,INT-WTO-TRIPS-1994
equity,2,VC-NVCA-CLIMATE-TS-2024; VC-NVCA-LIFESCI-TS-2022
exclusivity,1,MA-LINKEDIN-MSFT-2016
financing,1,MA-TWITTER-MUSK-2022
governance,1,PHARMA-PFIZER-BNTX-2020
implementation,24,INT-WTO-DSU-1994; LAB-ILO-CB-GUIDE-2015; USGOV-NARA-0001; USGOV-NARA-0002; USGOV-NARA-0003; USGOV-NARA-0004; USGOV-NARA-0005; USGOV-NARA-0006; USGOV-NARA-0007; USGOV-NARA-0008; USGOV-NARA-0009; USGOV-NARA-0010; USGOV-NARA-0011; USGOV-NARA-0012; USGOV-NARA-0013; USGOV-NARA-0014; USGOV-NARA-0015; USGOV-NARA-0016; USGOV-NARA-0017; USGOV-PRES-0001; USGOV-PRES-0002; USGOV-PRES-0003; USGOV-PRES-0004; USGOV-PRES-0005
institution building,1,INT-WTO-MARRAKESH-1994
intellectual property,1,INT-WTO-TRIPS-1994
international organization,1,INT-UN-CHARTER-1945
interpretation,1,INT-UN-VCLT-1969
labor negotiation,1,LAB-ILO-CB-GUIDE-2015
leverage,22,USGOV-NARA-0001; USGOV-NARA-0002; USGOV-NARA-0003; USGOV-NARA-0004; USGOV-NARA-0005; USGOV-NARA-0006; USGOV-NARA-0007; USGOV-NARA-0008; USGOV-NARA-0009; USGOV-NARA-0010; USGOV-NARA-0011; USGOV-NARA-0012; USGOV-NARA-0013; USGOV-NARA-0014; USGOV-NARA-0015; USGOV-NARA-0016; USGOV-NARA-0017; USGOV-PRES-0001; USGOV-PRES-0002; USGOV-PRES-0003; USGOV-PRES-0004; USGOV-PRES-0005
licensing,2,INT-WTO-TRIPS-1994; PHARMA-PFIZER-BNTX-2020
mediation,1,INT-WTO-DSU-1994
merger agreement,1,MA-FITBIT-GOOGLE-2019
merger negotiation,1,MA-TWITTER-MUSK-2022
milestones,2,VC-NVCA-CLIMATE-TS-2024; VC-NVCA-LIFESCI-TS-2022
multilateral negotiation,1,INT-UN-CHARTER-1945
negotiation,22,USGOV-NARA-0001; USGOV-NARA-0002; USGOV-NARA-0003; USGOV-NARA-0004; USGOV-NARA-0005; USGOV-NARA-0006; USGOV-NARA-0007; USGOV-NARA-0008; USGOV-NARA-0009; USGOV-NARA-0010; USGOV-NARA-0011; USGOV-NARA-0012; USGOV-NARA-0013; USGOV-NARA-0014; USGOV-NARA-0015; USGOV-NARA-0016; USGOV-NARA-0017; USGOV-PRES-0001; USGOV-PRES-0002; USGOV-PRES-0003; USGOV-PRES-0004; USGOV-PRES-0005
offers,24,MA-FITBIT-GOOGLE-2019; MA-LINKEDIN-MSFT-2016; USGOV-NARA-0001; USGOV-NARA-0002; USGOV-NARA-0003; USGOV-NARA-0004; USGOV-NARA-0005; USGOV-NARA-0006; USGOV-NARA-0007; USGOV-NARA-0008; USGOV-NARA-0009; USGOV-NARA-0010; USGOV-NARA-0011; USGOV-NARA-0012; USGOV-NARA-0013; USGOV-NARA-0014; USGOV-NARA-0015; USGOV-NARA-0016; USGOV-NARA-0017; USGOV-PRES-0001; USGOV-PRES-0002; USGOV-PRES-0003; USGOV-PRES-0004; USGOV-PRES-0005
peace negotiation,1,PEACE-BELFAST-1998-AGREEMENT
power sharing,1,PEACE-BELFAST-1998-AGREEMENT
ratification,1,INT-UN-VCLT-1969
reservations,1,INT-UN-VCLT-1969
royalties,2,VC-NVCA-CLIMATE-TS-2024; VC-NVCA-LIFESCI-TS-2022
safeguards,1,INT-WTO-GATT-1994
settlement,1,INT-WTO-DSU-1994
strategic alternatives,1,MA-FITBIT-GOOGLE-2019
strategy,22,USGOV-NARA-0001; USGOV-NARA-0002; USGOV-NARA-0003; USGOV-NARA-0004; USGOV-NARA-0005; USGOV-NARA-0006; USGOV-NARA-0007; USGOV-NARA-0008; USGOV-NARA-0009; USGOV-NARA-0010; USGOV-NARA-0011; USGOV-NARA-0012; USGOV-NARA-0013; USGOV-NARA-0014; USGOV-NARA-0015; USGOV-NARA-0016; USGOV-NARA-0017; USGOV-PRES-0001; USGOV-PRES-0002; USGOV-PRES-0003; USGOV-PRES-0004; USGOV-PRES-0005
sublicensing,2,VC-NVCA-CLIMATE-TS-2024; VC-NVCA-LIFESCI-TS-2022
tariffs,1,INT-WTO-GATT-1994
term sheet,2,VC-NVCA-CLIMATE-TS-2024; VC-NVCA-LIFESCI-TS-2022
termination,2,MA-TWITTER-MUSK-2022; PHARMA-PFIZER-BNTX-2020
termination fee,1,MA-LINKEDIN-MSFT-2016
trade negotiation,3,INT-WTO-GATT-1994; INT-WTO-MARRAKESH-1994; INT-WTO-TRIPS-1994
treaty negotiation,1,INT-UN-VCLT-1969
university licensing,2,VC-NVCA-CLIMATE-TS-2024; VC-NVCA-LIFESCI-TS-2022
unsolicited offer,1,MA-TWITTER-MUSK-2022
